Class                 Precision     Recall   F1-Score    Support
==============================================================
Bear                     0.4444     0.5128     0.4762         39
Brown_bear               0.6122     0.7692     0.6818         39
Bull                     0.7368     0.3836     0.5045         73
Camel                    0.8947     0.6296     0.7391         27
Cheetah                  0.4419     0.5429     0.4872         35
Deer                     0.8324     0.8701     0.8508        177
Duck                     0.8367     0.9318     0.8817         88
Eagle                    0.9882     0.9438     0.9655        178
Elephant                 0.6829     0.8485     0.7568         33
Fox                      0.8243     0.8841     0.8531         69
Giraffe                  0.6364     0.9130     0.7500         23
Goat                     0.6477     0.6064     0.6264         94
Hippopotamus             0.8261     0.8636     0.8444         22
Horse                    0.7103     0.7203     0.7153        143
Jaguar                   0.4118     0.3684     0.3889         38
Kangaroo                 0.7273     0.7442     0.7356         43
Koala                    0.7600     0.7917     0.7755         24
Leopard                  0.5102     0.4386     0.4717         57
Lion                     0.9468     0.8900     0.9175        100
Lynx                     0.8621     0.7353     0.7937         34
Monkey                   0.8892     0.9502     0.9187        321
Mule                     0.6757     0.6944     0.6849         36
Ostrich                  0.9692     0.8289     0.8936         76
Panda                    0.7500     0.7895     0.7692         19
Penguin                  0.7468     0.9672     0.8429         61
Pig                      0.8132     0.7708     0.7914         96
Polar_bear               0.9138     0.9636     0.9381         55
Rabbit                   0.9206     0.9206     0.9206        126
Raccoon                  0.7458     0.8627     0.8000         51
Rhinoceros               0.7436     0.8529     0.7945         34
Sheep                    0.8095     0.4595     0.5862         74
==============================================================
Macro Avg                0.7520     0.7564     0.7470       2285

Overall Accuracy: 0.8000
