epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,508.127,2.89821,0.02044,0.17376,4.36393,9.50974e-05,9.50974e-05,9.50974e-05
2,958.603,1.72713,0.02768,0.19336,5.85063,0.000181004,0.000181004,0.000181004
3,1265.94,1.13111,0.03748,0.1908,7.18141,0.000257473,0.000257473,0.000257473
4,1644.93,0.91487,0.046,0.18825,8.18386,0.000243529,0.000243529,0.000243529
5,2169.99,0.76528,0.04003,0.19549,8.98869,0.000229372,0.000229372,0.000229372
6,2604.81,0.68527,0.04557,0.204,9.20265,0.000215215,0.000215215,0.000215215
7,2807.38,0.62945,0.05324,0.2023,9.59833,0.000201058,0.000201058,0.000201058
8,2990.03,0.57625,0.04898,0.20784,9.9434,0.000186901,0.000186901,0.000186901
9,3186.68,0.548,0.05494,0.20273,10.4088,0.000172744,0.000172744,0.000172744
10,3370.75,0.51793,0.05366,0.20954,10.3567,0.000158587,0.000158587,0.000158587
11,3558.29,0.50643,0.0592,0.2121,10.3716,0.00014443,0.00014443,0.00014443
12,3758.44,0.4647,0.05153,0.21295,10.7308,0.000130273,0.000130273,0.000130273
13,3957.76,0.45432,0.05494,0.20102,10.7806,0.000116116,0.000116116,0.000116116
14,4161.47,0.43379,0.05537,0.2121,10.817,0.000101959,0.000101959,0.000101959
15,4357.01,0.42709,0.05366,0.20741,10.9156,8.7802e-05,8.7802e-05,8.7802e-05
16,4548.29,0.41682,0.05324,0.21082,11.0734,7.3645e-05,7.3645e-05,7.3645e-05
17,4728.41,0.40776,0.05366,0.20443,11.2041,5.9488e-05,5.9488e-05,5.9488e-05
18,4907.8,0.39931,0.05451,0.20997,11.0436,4.5331e-05,4.5331e-05,4.5331e-05
19,5087.39,0.38709,0.05366,0.20997,11.0753,3.1174e-05,3.1174e-05,3.1174e-05
20,5266.68,0.38448,0.05366,0.2121,11.1059,1.7017e-05,1.7017e-05,1.7017e-05
